Dan	Morgan	told
man	was	''
was	''	?
''	?	?
?	?	``
?	``	No
``	No	,
No	,	I
,	I	never
I	never	did
never	did	see
did	see	his
see	his	face
his	face	.
face	.	I
.	I	didn't
I	didn't	get
didn't	get	a
get	a	good
a	good	look
good	look	at
look	at	him
at	him	at
him	at	all
at	all	,
all	,	his
,	his	back
his	back	was
back	was	to
was	to	me
to	me	,
me	,	and
,	and	I
and	I	was
I	was	so
was	so	scared
so	scared	It
scared	It	was
It	was	just
was	just	somebody
just	somebody	in
somebody	in	a
in	a	man's
a	man's	suit
man's	suit	.
suit	.	But
.	But	I'm
But	I'm	sure
I'm	sure	the
sure	the	other
the	other	one
other	one	was
one	was	Lou
was	Lou	''
Lou	''	.
''	.	What
.	What	Joyce
What	Joyce	wanted
Joyce	wanted	me
wanted	me	to
me	to	do
to	do	was
do	was	go
was	go	to
go	to	Thor's
to	Thor's	house
Thor's	house	and
house	and	``
and	``	do
``	do	whatever
do	whatever	detectives
whatever	detectives	do
detectives	do	''
do	''	,
''	,	and
,	and	get
and	get	her
get	her	clothes
her	clothes	--
clothes	--	and
--	and	handbag
and	handbag	containing
handbag	containing	her
containing	her	identification
her	identification	.
identification	.	She
.	She	realized
She	realized	I'd
realized	I'd	have
I'd	have	to
have	to	notify
to	notify	the
notify	the	police
the	police	,
police	,	but
,	but	fervently
but	fervently	hoped
fervently	hoped	I
hoped	I	could
I	could	avoid
could	avoid	mentioning
avoid	mentioning	her
mentioning	her	name
her	name	.
name	.	Her
.	Her	impact
Her	impact	in
impact	in	the
in	the	zing
the	zing	commercials
zing	commercials	had
commercials	had	led
had	led	to
led	to	her
to	her	being
her	being	considered
being	considered	for
considered	for	an
for	an	excellent
an	excellent	part
excellent	part	in
part	in	an
in	an	upcoming
an	upcoming	TV
upcoming	TV	series
TV	series	,
series	,	Underwater
,	Underwater	Western
Underwater	Western	Eye
Western	Eye	,
Eye	,	a
,	a	documentary-type
a	documentary-type	show
documentary-type	show	to
show	to	be
to	be	sponsored
be	sponsored	by
sponsored	by	Oatnut
by	Oatnut	Grits
Oatnut	Grits	.
Grits	.	But
.	But	if
But	if	Joyce
if	Joyce	got
Joyce	got	involved
got	involved	in
involved	in	murder
in	murder	or
murder	or	salacious
or	salacious	scandal
salacious	scandal	,
scandal	,	the
,	the	role
the	role	would
role	would	probably
would	probably	go
probably	go	to
go	to	the
to	the	sponsor's
the	sponsor's	wife
sponsor's	wife	,
wife	,	Mrs.
,	Mrs.	Oatnut
Mrs.	Oatnut	Grits
Oatnut	Grits	.
Grits	.	Or
.	Or	at
Or	at	least
at	least	not
least	not	to
not	to	Joyce
to	Joyce	.
Joyce	.	``
.	``	And
``	And	I
And	I	so
I	so	want
so	want	the
want	the	part
the	part	''
part	''	,
''	,	she
,	she	said
she	said	.
said	.	``
.	``	The
``	The	commercials
The	commercials	have
commercials	have	just
have	just	been
just	been	for
been	for	money
for	money	,
money	,	there
,	there	hasn't
there	hasn't	been
hasn't	been	any
been	any	real
any	real	incentive
real	incentive	for
incentive	for	me
for	me	to
me	to	do
to	do	them
do	them	,
them	,	but
,	but	in
but	in	Underwater
in	Underwater	Western
Underwater	Western	Eye
Western	Eye	I'd
Eye	I'd	have
I'd	have	a
have	a	chance
a	chance	to
chance	to	act
to	act	.
act	.	I
.	I	could
I	could	show
could	show	what
show	what	I
what	I	can
I	can	do
can	do	''
do	''	.
''	.	As
.	As	far
As	far	as
far	as	I
as	I	was
I	was	concerned
was	concerned	,
concerned	,	she
,	she	had
she	had	already
had	already	and
already	and	had
and	had	dandily
had	dandily	shown
dandily	shown	what
shown	what	she
what	she	could
she	could	do
could	do	.
do	.	But
.	But	I
But	I	promised
I	promised	Joyce
promised	Joyce	I
Joyce	I	would
I	would	mention
would	mention	her
mention	her	name
her	name	,
name	,	if
,	if	at
if	at	all
at	all	,
all	,	only
,	only	as
only	as	a
as	a	last
a	last	resort
last	resort	.
resort	.	Seeming
.	Seeming	much
Seeming	much	relieved
much	relieved	,
relieved	,	she
,	she	smiled
she	smiled	one
smiled	one	of
one	of	those
of	those	worth-waiting-for
those	worth-waiting-for	smiles
worth-waiting-for	smiles	,
smiles	,	and
,	and	I
and	I	smiled
I	smiled	all
smiled	all	the
all	the	way
the	way	into
way	into	the
into	the	bedroom
the	bedroom	.
bedroom	.	There
.	There	I
There	I	got
I	got	my
got	my	Colt
my	Colt	Special
Colt	Special	and
Special	and	shoulder
and	shoulder	harness
shoulder	harness	,
harness	,	slipped
,	slipped	my
slipped	my	coat
my	coat	on
coat	on	,
on	,	and
,	and	went
and	went	back
went	back	into
back	into	the
into	the	front
the	front	room
front	room	.
room	.	Joyce
.	Joyce	squirmed
Joyce	squirmed	a
squirmed	a	little
a	little	on
little	on	the
on	the	divan
the	divan	.
divan	.	``
.	``	I'm
``	I'm	starting
I'm	starting	to
starting	to	itch
to	itch	''
itch	''	,
''	,	she
,	she	said
she	said	.
said	.	``
.	``	Itch
``	Itch	''
Itch	''	?
''	?	?
?	?	``
?	``	Yes
``	Yes	,
Yes	,	I'm
,	I'm	still
I'm	still	all
still	all	covered
all	covered	with
covered	with	that
with	that	soap
that	soap	.
soap	.	I
.	I	was
I	was	loaded
was	loaded	with
loaded	with	suds
with	suds	when
suds	when	I
when	I	ran
I	ran	away
ran	away	,
away	,	and
,	and	I
and	I	haven't
I	haven't	had
haven't	had	a
had	a	chance
a	chance	to
chance	to	wash
to	wash	it
wash	it	off
it	off	.
off	.	Mmmm
.	Mmmm	,
Mmmm	,	it
,	it	sure
it	sure	itches
sure	itches	''
itches	''	.
''	.	``
.	``	You
``	You	might
You	might	as
might	as	well
as	well	wait
well	wait	here
wait	here	while
here	while	I'm
while	I'm	gone
I'm	gone	,
gone	,	so
,	so	you
so	you	can
you	can	use
can	use	my
use	my	shower
my	shower	if
shower	if	you'd
if	you'd	like
you'd	like	''
like	''	.
''	.	``
.	``	Oh
``	Oh	,
Oh	,	I'd
,	I'd	love
I'd	love	to
love	to	''
to	''	.
''	.	I
.	I	showed
I	showed	her
showed	her	the
her	the	shower
the	shower	and
shower	and	tub
and	tub	,
tub	,	and
,	and	she
and	she	said
she	said	,
said	,	smiling
,	smiling	,
smiling	,	``
,	``	If
``	If	you
If	you	really
you	really	don't
really	don't	mind
don't	mind	,
mind	,	I
,	I	think
I	think	I'll
think	I'll	get
I'll	get	clean
get	clean	in
clean	in	the
in	the	shower
the	shower	,
shower	,	then
,	then	soak
then	soak	for
soak	for	a
for	a	few
a	few	minutes
few	minutes	in
minutes	in	your
in	your	tub
your	tub	.
tub	.	That
.	That	always
That	always	relaxes
always	relaxes	me
relaxes	me	.
me	.	Doesn't
.	Doesn't	it
Doesn't	it	you
it	you	''
you	''	?
''	?	?
?	?	``
?	``	Only
``	Only	when
Only	when	I
when	I	do
I	do	it
do	it	''
it	''	.
''	.	I
.	I	shook
I	shook	my
shook	my	head
my	head	.
head	.	One
.	One	of
One	of	my
of	my	virtues
my	virtues	or
virtues	or	vices
or	vices	is
vices	is	a
is	a	sort
a	sort	of
sort	of	three-dimensional
of	three-dimensional	imagination
three-dimensional	imagination	complete
imagination	complete	with
complete	with	sound
with	sound	effects
sound	effects	and
effects	and	glorious
and	glorious	living
glorious	living	color
living	color	.
color	.	``
.	``	Soak
``	Soak	as
Soak	as	long
as	long	as
long	as	you
as	you	want
you	want	,
want	,	Joyce
,	Joyce	.
Joyce	.	It'll
.	It'll	probably
It'll	probably	be
probably	be	at
be	at	least
at	least	an
least	an	hour
an	hour	or
hour	or	two
or	two	before
two	before	I
before	I	can
I	can	check
can	check	back
check	back	with
back	with	you
with	you	.
you	.	So
.	So	you'll
So	you'll	have
you'll	have	everything
have	everything	all
everything	all	to
all	to	yourself
to	yourself	,
yourself	,	doggone
,	doggone	''
doggone	''	I
''	I	looked
I	looked	at
looked	at	my
at	my	watch
my	watch	.
watch	.	Ten
.	Ten	after
Ten	after	nine
after	nine	.
nine	.	Time
.	Time	to
Time	to	go
to	go	,
go	,	I
,	I	supposed
I	supposed	.
supposed	.	``
.	``	Well
``	Well	,
Well	,	goodbye
,	goodbye	''
goodbye	''	,
''	,	I
,	I	said
I	said	.
said	.	``
.	``	Goodbye
``	Goodbye	.
Goodbye	.	You'd
.	You'd	better
You'd	better	hurry
better	hurry	''
hurry	''	.
''	.	``
.	``	Oh
``	Oh	,
Oh	,	you
,	you	can
you	can	count
can	count	on
count	on	that
on	that	''
that	''	.
''	.	She
.	She	smiled
She	smiled	slightly
smiled	slightly	.
slightly	.	Softly
.	Softly	.
Softly	.	Warmly
.	Warmly	.
Warmly	.	``
.	``	Don't
``	Don't	hurry
Don't	hurry	too
hurry	too	much
too	much	.
much	.	I'll
.	I'll	be
I'll	be	soaking
be	soaking	for
soaking	for	at
for	at	least
at	least	half
least	half	an
half	an	hour
an	hour	''
hour	''	.
''	.	That
.	That	was
That	was	all
was	all	she
all	she	said
she	said	.
said	.	But
.	But	suddenly
But	suddenly	those
suddenly	those	hot-honey
those	hot-honey	eyes
hot-honey	eyes	seemed
eyes	seemed	to
seemed	to	have
to	have	everything
have	everything	but
everything	but	swarms
but	swarms	of
swarms	of	bees
of	bees	in
bees	in	them
in	them	.
them	.	However
.	However	,
However	,	when
,	when	there's
when	there's	a
there's	a	job
a	job	to
job	to	be
to	be	done
be	done	,
done	,	I'm
,	I'm	a
I'm	a	monstrosity
a	monstrosity	of
monstrosity	of	grim
of	grim	determination
grim	determination	,
determination	,	I
,	I	like
I	like	to
like	to	think
to	think	.
think	.	I
.	I	spun
I	spun	about
spun	about	and
about	and	clattered
and	clattered	through
clattered	through	the
through	the	front
the	front	room
front	room	to
room	to	the
to	the	door
the	door	.
door	.	As
.	As	I
As	I	went
I	went	out
went	out	,
out	,	I
,	I	could
I	could	hear
could	hear	water
hear	water	pouring
water	pouring	in
pouring	in	the
in	the	shower
the	shower	.
shower	.	Hot
.	Hot	water
Hot	water	.
water	.	She
.	She	wouldn't
She	wouldn't	be
wouldn't	be	taking
be	taking	a
taking	a	cold
a	cold	shower
cold	shower	.
shower	.	Hell
.	Hell	,
Hell	,	she
,	she	couldn't
she	couldn't	.
couldn't	.	Bryn
.	Bryn	Mawr
Bryn	Mawr	Drive
Mawr	Drive	is
Drive	is	only
is	only	two
only	two	or
two	or	three
or	three	miles
three	miles	from
miles	from	the
from	the	Spartan
the	Spartan	,
Spartan	,	and
,	and	it
and	it	took
it	took	me
took	me	less
me	less	than
less	than	five
than	five	minutes
five	minutes	to
minutes	to	get
to	get	there
get	there	.
there	.	But
.	But	the
But	the	scene
the	scene	was
scene	was	not
was	not	the
not	the	quiet
the	quiet	,
quiet	,	calm
,	calm	scene
calm	scene	I'd
scene	I'd	expected
I'd	expected	.
expected	.	Four
.	Four	cars
Four	cars	were
cars	were	parked
were	parked	at
parked	at	the
at	the	curb
the	curb	,
curb	,	and
,	and	two
and	two	of
two	of	them
of	them	were
them	were	police
were	police	radio
police	radio	cars
radio	cars	.
cars	.	Lights
.	Lights	blazed
Lights	blazed	in
blazed	in	the
in	the	big
the	big	house
big	house	and
house	and	surrounding
and	surrounding	grounds
surrounding	grounds	.
grounds	.	I
.	I	followed
I	followed	a
followed	a	shrubbery-lined
a	shrubbery-lined	gravel
shrubbery-lined	gravel	path
gravel	path	alongside
path	alongside	the
alongside	the	house
the	house	to
house	to	the
to	the	pool
the	pool	.
pool	.	Two
.	Two	uniformed
Two	uniformed	officers
uniformed	officers	,
officers	,	a
,	a	couple
a	couple	of
couple	of	plain-clothesmen
of	plain-clothesmen	I
plain-clothesmen	I	knew
I	knew	,
knew	,	and
,	and	two
and	two	other
two	other	men
other	men	stood
men	stood	on
stood	on	a
on	a	gray
a	gray	cement
gray	cement	area
cement	area	next
area	next	to
next	to	the
to	the	pool
the	pool	on
pool	on	my
on	my	left
my	left	.
left	.	At
.	At	the
At	the	pool's
the	pool's	far
pool's	far	end
far	end	was
end	was	the
was	the	little
the	little	cabana
little	cabana	Joyce
cabana	Joyce	had
Joyce	had	mentioned
had	mentioned	,
mentioned	,	and
,	and	on
and	on	the
on	the	water's
the	water's	surface
water's	surface	floated
surface	floated	scattered
floated	scattered	lavender
scattered	lavender	patches
lavender	patches	of
patches	of	limp-looking
of	limp-looking	lather
limp-looking	lather	.
lather	.	A
.	A	few
A	few	yards
few	yards	beyond
yards	beyond	the
beyond	the	group
the	group	of
group	of	men
of	men	,
men	,	a
,	a	man's
a	man's	nude
man's	nude	body
nude	body	lay
body	lay	face
lay	face	down
face	down	on
down	on	a
on	a	patch
a	patch	of
patch	of	thick
of	thick	green
thick	green	dichondra
green	dichondra	.
dichondra	.	Lieutenant
.	Lieutenant	Rawlins
Lieutenant	Rawlins	,
Rawlins	,	one
,	one	of
one	of	the
of	the	plain-clothesmen
the	plain-clothesmen	,
plain-clothesmen	,	spotted
,	spotted	me
spotted	me	and
me	and	said
and	said	,
said	,	``
,	``	Hi
``	Hi	,
Hi	,	Shell
,	Shell	''
Shell	''	,
''	,	and
,	and	walked
and	walked	toward
walked	toward	me
toward	me	.
me	.	``
.	``	How'd
``	How'd	you
How'd	you	hear
you	hear	about
hear	about	this
about	this	one
this	one	''
one	''	?
''	?	?
?	?	I
?	I	grinned
I	grinned	,
grinned	,	but
,	but	ignored
but	ignored	the
ignored	the	question
the	question	.
question	.	He
.	He	didn't
He	didn't	push
didn't	push	it
push	it	;
it	;	;
;	;	Rawlins
;	Rawlins	worked
Rawlins	worked	out
worked	out	of
out	of	Central
of	Central	Homicide
Central	Homicide	and
Homicide	and	we'd
and	we'd	been
we'd	been	friends
been	friends	for
friends	for	years
for	years	.
years	.	He
.	He	filled
He	filled	me
filled	me	in
me	in	.
in	.	A
.	A	call
A	call	to
call	to	the
to	the	police
the	police	had
police	had	been
had	been	placed
been	placed	from
placed	from	here
from	here	a
here	a	couple
a	couple	of
couple	of	minutes
of	minutes	after
minutes	after	nine
after	nine	P.M.
nine	P.M.	,
P.M.	,	and
,	and	the
and	the	first
the	first	police
first	police	car
police	car	had
car	had	arrived
had	arrived	two
arrived	two	or
two	or	three
or	three	minutes
three	minutes	after
minutes	after	that
after	that	--
that	--	10
--	10	minutes
10	minutes	ago
minutes	ago	now
ago	now	.
now	.	Present
.	Present	at
Present	at	the
at	the	scene
the	scene	--
scene	--	in
--	in	addition
in	addition	to
addition	to	the
to	the	dead
the	dead	man
dead	man	,
man	,	who
,	who	was
who	was	indeed
was	indeed	Louis
indeed	Louis	Thor
Louis	Thor	--
Thor	--	had
--	had	been
had	been	Thor's
been	Thor's	partner
Thor's	partner	Bill
partner	Bill	Blake
Bill	Blake	,
Blake	,	and
,	and	Antony
and	Antony	Rose
Antony	Rose	,
Rose	,	an
,	an	advertising
an	advertising	agency
advertising	agency	executive
agency	executive	who
executive	who	handled
who	handled	the
handled	the	zing
the	zing	account
zing	account	.
account	.	Neither
.	Neither	of
Neither	of	them
of	them	,
them	,	I
,	I	understood
I	understood	,
understood	,	had
,	had	been
had	been	present
been	present	at
present	at	the
at	the	filming
the	filming	session
filming	session	earlier
session	earlier	.
earlier	.	``
.	``	What
``	What	were
What	were	they
were	they	doing
they	doing	here
doing	here	''
here	''	?
''	?	?
?	?	I
?	I	asked
I	asked	Rawlins
asked	Rawlins	.
Rawlins	.	``
.	``	They
``	They	were
They	were	supposed
were	supposed	to
supposed	to	meet
to	meet	Thor
meet	Thor	at
Thor	at	nine
at	nine	PM
nine	PM	for
PM	for	a
for	a	conference
a	conference	concerning
conference	concerning	the
concerning	the	ad
the	ad	campaign
ad	campaign	for
campaign	for	their
for	their	soap
their	soap	,
soap	,	a
,	a	new
a	new	angle
new	angle	based
angle	based	on
based	on	this
on	this	SX-21
this	SX-21	stuff
SX-21	stuff	''
stuff	''	.
''	.	``
.	``	Yeah
``	Yeah	,
Yeah	,	I've
,	I've	heard
I've	heard	more
heard	more	about
more	about	SX-21
about	SX-21	than
SX-21	than	space
than	space	exploration
space	exploration	lately
exploration	lately	.
lately	.	What
.	What	is
What	is	the
is	the	gunk
the	gunk	''
gunk	''	?
''	?	?
?	?	``
?	``	How
``	How	would
How	would	I
would	I	know
I	know	?
know	?	?
?	?	It's
?	It's	a
It's	a	secret
a	secret	.
secret	.	That
.	That	was
That	was	the
was	the	new
the	new	advertising
new	advertising	angle
advertising	angle	--
angle	--	something
--	something	about
something	about	a
about	a	Lloyd's
a	Lloyd's	of
Lloyd's	of	London
of	London	policy
London	policy	to
policy	to	insure
to	insure	the
insure	the	secrecy
the	secrecy	of
secrecy	of	the
of	the	secret
the	secret	ingredient
secret	ingredient	.
ingredient	.	Actually
.	Actually	,
Actually	,	only
,	only	two
only	two	men
two	men	know
men	know	what
know	what	the
what	the	formula
the	formula	is
formula	is	,
is	,	Blake
,	Blake	and
Blake	and	''
and	''	--
''	--	He
--	He	stopped
He	stopped	and
stopped	and	looked
and	looked	at
looked	at	Thor's
at	Thor's	body
Thor's	body	.
body	.	I
.	I	said
I	said	,
said	,	``
,	``	O.K.
``	O.K.	,
O.K.	,	so
,	so	now
so	now	only
now	only	Blake
only	Blake	knows
Blake	knows	.
knows	.	How's
.	How's	it
How's	it	strike
it	strike	you
strike	you	,
you	,	foul
,	foul	or
foul	or	fair
or	fair	''
fair	''	?
''	?	?
?	?	``
?	``	Can't
``	Can't	say
Can't	say	yet
say	yet	.
yet	.	Deputy
.	Deputy	coroner
Deputy	coroner	says
coroner	says	it
says	it	looks
it	looks	like
looks	like	he
like	he	sucked
he	sucked	in
sucked	in	a
in	a	big
a	big	pile
big	pile	of
pile	of	those
of	those	thick
those	thick	suds
thick	suds	and
suds	and	strangled
and	strangled	on
strangled	on	'em
on	'em	.
'em	.	The
.	The	PM
The	PM	might
PM	might	show
might	show	he
show	he	drowned
he	drowned	instead
drowned	instead	,
instead	,	but
,	but	that's
but	that's	what
that's	what	the
what	the	once-over-lightly
the	once-over-lightly	gives
once-over-lightly	gives	us
gives	us	.
us	.	Accident
.	Accident	,
Accident	,	murder
,	murder	,
murder	,	suicide
,	suicide	--
suicide	--	take
--	take	your
take	your	pick
your	pick	''
pick	''	.
''	.	``
.	``	I'll
``	I'll	pick
I'll	pick	murder
pick	murder	.
murder	.	Anything
.	Anything	else
Anything	else	''
else	''	?
''	?	?
?	?	``
?	``	According
``	According	to
According	to	Rose
to	Rose	,
Rose	,	he
,	he	arrived
he	arrived	here
arrived	here	a
here	a	couple
a	couple	minutes
couple	minutes	before
minutes	before	nine
before	nine	and
nine	and	spotted
and	spotted	Thor
spotted	Thor	in
Thor	in	the
in	the	water
the	water	,
water	,	got
,	got	a
got	a	hooked
a	hooked	pole
hooked	pole	from
pole	from	the
from	the	pool-equipment
the	pool-equipment	locker
pool-equipment	locker	and
locker	and	started
and	started	hauling
started	hauling	him
hauling	him	out
him	out	.
out	.	Too
.	Too	many
Too	many	people
many	people	think
people	think	that
think	that	the
that	the	primary
the	primary	purpose
primary	purpose	of
purpose	of	a
of	a	higher
a	higher	education
higher	education	is
education	is	to
is	to	help
to	help	you
help	you	make
you	make	a
make	a	living
a	living	;
living	;	;
;	;	this
;	this	is
this	is	not
is	not	so
not	so	,
so	,	for
,	for	education
for	education	offers
education	offers	all
offers	all	kinds
all	kinds	of
kinds	of	dividends
of	dividends	,
dividends	,	including
,	including	how
including	how	to
how	to	pull
to	pull	the
pull	the	wool
the	wool	over
wool	over	a
over	a	husband's
a	husband's	eyes
husband's	eyes	while
eyes	while	you
while	you	are
you	are	having
are	having	an
having	an	affair
an	affair	with
affair	with	his
with	his	wife
his	wife	.
wife	.	If
.	If	it
If	it	were
it	were	not
were	not	for
not	for	an
for	an	old
an	old	professor
old	professor	who
professor	who	made
who	made	me
made	me	read
me	read	the
read	the	classics
the	classics	I
classics	I	would
I	would	have
would	have	been
have	been	stymied
been	stymied	on
stymied	on	what
on	what	to
what	to	do
to	do	,
do	,	and
,	and	now
and	now	I
now	I	understand
I	understand	why
understand	why	they
why	they	are
they	are	classics
are	classics	;
classics	;	;
;	;	those
;	those	who
those	who	wrote
who	wrote	them
wrote	them	knew
them	knew	people
knew	people	and
people	and	what
and	what	made
what	made	people
made	people	tick
people	tick	.
tick	.	I
.	I	worked
I	worked	for
worked	for	my
for	my	Uncle
my	Uncle	(
Uncle	(	an
(	an	Uncle
an	Uncle	by
Uncle	by	marriage
by	marriage	so
marriage	so	you
so	you	will
you	will	not
will	not	think
not	think	this
think	this	has
this	has	a
has	a	mild
a	mild	undercurrent
mild	undercurrent	of
undercurrent	of	incest
of	incest	)
incest	)	who
)	who	ran
who	ran	one
ran	one	of
one	of	those
of	those	antique
those	antique	shops
antique	shops	in
shops	in	New
in	New	Orleans'
New	Orleans'	Vieux
Orleans'	Vieux	Carre
Vieux	Carre	,
Carre	,	the
,	the	old
the	old	French
old	French	Quarter
French	Quarter	.
Quarter	.	The
.	The	arrangement
The	arrangement	I
arrangement	I	had
I	had	with
had	with	him
with	him	was
him	was	to
was	to	work
to	work	four
work	four	hours
four	hours	a
hours	a	day
a	day	.
day	.	The
.	The	rest
The	rest	of
rest	of	the
of	the	time
the	time	I
time	I	devoted
I	devoted	to
devoted	to	painting
to	painting	or
painting	or	to
or	to	those
to	those	other
those	other	activities
other	activities	a
activities	a	young
a	young	and
young	and	healthy
and	healthy	man
healthy	man	just
man	just	out
just	out	of
out	of	college
of	college	finds
college	finds	interesting
finds	interesting	.
interesting	.	I
.	I	had
I	had	a
had	a	one-room
a	one-room	studio
one-room	studio	which
studio	which	overlooked
which	overlooked	an
overlooked	an	ancient
an	ancient	courtyard
ancient	courtyard	filled
courtyard	filled	with
filled	with	flowers
with	flowers	and
flowers	and	plants
and	plants	,
plants	,	blooming
,	blooming	everlastingly
blooming	everlastingly	in
everlastingly	in	the
in	the	southern
the	southern	sun
southern	sun	.
sun	.	I
.	I	had
I	had	come
had	come	to
come	to	New
to	New	Orleans
New	Orleans	two
Orleans	two	years
two	years	earlier
years	earlier	after
earlier	after	graduating
after	graduating	college
graduating	college	,
college	,	partly
,	partly	because
partly	because	I
because	I	loved
I	loved	the
loved	the	city
the	city	and
city	and	partly
and	partly	because
partly	because	there
because	there	was
there	was	quite
was	quite	a
quite	a	noted
a	noted	art
noted	art	colony
art	colony	there
colony	there	.
there	.	When
.	When	my
When	my	Uncle
my	Uncle	offered
Uncle	offered	me
offered	me	a
me	a	part-time
a	part-time	job
part-time	job	which
job	which	would
which	would	take
would	take	care
take	care	of
care	of	my
of	my	normal
my	normal	expenses
normal	expenses	and
expenses	and	give
and	give	me
give	me	time
me	time	to
time	to	paint
to	paint	I
paint	I	accepted
I	accepted	.
accepted	.	The
.	The	arrangement
The	arrangement	turned
arrangement	turned	out
turned	out	to
out	to	be
to	be	excellent
be	excellent	.
excellent	.	I
.	I	loved
I	loved	the
loved	the	city
the	city	and
city	and	I
and	I	particularly
I	particularly	loved
particularly	loved	the
loved	the	gaiety
the	gaiety	and
gaiety	and	spirit
and	spirit	of
spirit	of	Mardi
of	Mardi	Gras
Mardi	Gras	.
Gras	.	I
.	I	had
I	had	seen
had	seen	two
seen	two	of
two	of	them
of	them	and
them	and	we
and	we	would
we	would	soon
would	soon	be
soon	be	in
be	in	another
in	another	city-wide
another	city-wide	,
city-wide	,	joyous
,	joyous	celebration
joyous	celebration	with
celebration	with	romance
with	romance	in
romance	in	the
in	the	air
the	air	;
air	;	;
;	;	and
;	and	,
and	,	when
,	when	you
when	you	took
you	took	a
took	a	walk
a	walk	you
walk	you	never
you	never	knew
never	knew	what
knew	what	adventure
what	adventure	or
adventure	or	pair
or	pair	of
pair	of	sparkling
of	sparkling	eyes
sparkling	eyes	were
eyes	were	waiting
were	waiting	around
waiting	around	the
around	the	next
the	next	corner
next	corner	.
corner	.	The
.	The	very
The	very	faces
very	faces	of
faces	of	the
of	the	people
the	people	bore
people	bore	this
bore	this	expectation
this	expectation	of
expectation	of	fun
of	fun	and
fun	and	pleasure
and	pleasure	.
pleasure	.	It
.	It	was
It	was	as
was	as	if
as	if	they
if	they	could
they	could	hardly
could	hardly	wait
hardly	wait	to
wait	to	get
to	get	into
get	into	their
into	their	costumes
their	costumes	,
costumes	,	cover
,	cover	their
cover	their	faces
their	faces	with
faces	with	masks
with	masks	and
masks	and	go
and	go	adventuring
go	adventuring	.
adventuring	.	My
.	My	Uncle
My	Uncle	and
Uncle	and	I
and	I	were
I	were	not
were	not	too
not	too	close
too	close	socially
close	socially	because
socially	because	of
because	of	the
of	the	difference
the	difference	in
difference	in	our
in	our	ages
our	ages	.
ages	.	Sometimes
.	Sometimes	I
Sometimes	I	wondered
I	wondered	vaguely
wondered	vaguely	what
vaguely	what	he
what	he	did
he	did	about
did	about	women
about	women	for
women	for	my
for	my	Aunt
my	Aunt	,
Aunt	,	by
,	by	blood
by	blood	,
blood	,	had
,	had	died
had	died	some
died	some	years
some	years	ago
years	ago	,
ago	,	but
,	but	neither
but	neither	of
neither	of	us
of	us	said
us	said	anything
said	anything	.
anything	.	One
.	One	Monday
One	Monday	morning
Monday	morning	I
morning	I	saw
I	saw	him
saw	him	approach
him	approach	the
approach	the	store
the	store	with
store	with	a
with	a	woman
a	woman	and
woman	and	introduce
and	introduce	me
introduce	me	to
me	to	her
to	her	as
her	as	my
as	my	new
my	new	Aunt
new	Aunt	.
Aunt	.	They
.	They	were
They	were	married
were	married	over
married	over	the
over	the	week-end
the	week-end	,
week-end	,	though
,	though	he
though	he	was
he	was	easily
was	easily	sixty
easily	sixty	and
sixty	and	she
and	she	could
she	could	not
could	not	have
not	have	been
have	been	even
been	even	thirty
even	thirty	.
thirty	.	She
.	She	looked
She	looked	more
looked	more	like
more	like	twenty-five
like	twenty-five	or
twenty-five	or	six
or	six	.
six	.	It
.	It	was
It	was	really
was	really	a
really	a	May
a	May	and
May	and	December
and	December	combination
December	combination	.
combination	.	My
.	My	new
My	new	Aunt
new	Aunt	was
Aunt	was	perhaps
was	perhaps	three
perhaps	three	or
three	or	four
or	four	years
four	years	older
years	older	than
older	than	I
than	I	and
I	and	it
and	it	had
it	had	been
had	been	a
been	a	long
a	long	time
long	time	since
time	since	I
since	I	had
I	had	seen
had	seen	as
seen	as	gorgeous
as	gorgeous	a
gorgeous	a	woman
a	woman	who
woman	who	oozed
who	oozed	sex
oozed	sex	.
sex	.	There
.	There	was
There	was	something
was	something	about
something	about	the
about	the	contour
the	contour	of
contour	of	her
of	her	face
her	face	,
face	,	her
,	her	smile
her	smile	that
smile	that	was
that	was	like
was	like	New
like	New	Orleans
New	Orleans	sunshine
Orleans	sunshine	,
sunshine	,	the
,	the	way
the	way	she
way	she	held
she	held	her
held	her	head
her	head	,
head	,	the
,	the	way
the	way	she
way	she	walked
she	walked	--
walked	--	there
--	there	was
there	was	scarcely
was	scarcely	anything
scarcely	anything	she
anything	she	did
she	did	which
did	which	did
which	did	not
did	not	fascinate
not	fascinate	me
fascinate	me	.
me	.	Her
.	Her	legs
Her	legs	were
legs	were	the
were	the	full
the	full	,
full	,	sexy
,	sexy	kind
sexy	kind	,
kind	,	full
,	full	bodied
full	bodied	like
bodied	like	a
like	a	rare
a	rare	wine
rare	wine	and
wine	and	just
and	just	as
just	as	tantalizing
as	tantalizing	to
tantalizing	to	the
to	the	appetite
the	appetite	;
appetite	;	;
;	;	the
;	the	calf
the	calf	was
calf	was	magnificent
was	magnificent	,
magnificent	,	the
,	the	ankle
the	ankle	perfect
ankle	perfect	.
perfect	.	You
.	You	must
You	must	forgive
must	forgive	me
forgive	me	if
me	if	I
if	I	seem
I	seem	to
seem	to	dwell
to	dwell	too
dwell	too	much
too	much	on
much	on	her
on	her	physical
her	physical	aspects
physical	aspects	but
aspects	but	I
but	I	am
I	am	an
am	an	artist
an	artist	,
artist	,	accustomed
,	accustomed	to
accustomed	to	studying
